code_pac,lbl_cultu,code_cpf_bio,libelle_code_cpf_bio,code_grp_cultu,grp_cultu,
ACA,Autre culture non précisée dans la liste (admissible),01.19,Autres cultures non permanentes,28,Divers,
AGR,Agrume,01.23.1,Agrumes,20,Vergers,
AIL,Aïl,01.13.42,Ail,25,Légumes ou fleurs,
ANA,Ananas,01.22.19.1,Ananas,20,Vergers,
ANE,Aneth,01.28.19.26,Aneth,24,Autres cultures industrielles,"Plantes médicinales, aromatiques, épices"
ANG,Angélique,01.28.30.48,Angélique,24,Autres cultures industrielles,"Plantes médicinales, aromatiques, épices"
ANI,Anis,01.28.14.3,"Anis, badiane",24,Autres cultures industrielles,"Plantes médicinales, aromatiques, épices"
ARA,Arachide,01.11.82,"Arachides, en coque",7,Autres oléagineux,
ART,Artichaut,01.13.17,Artichauts,25,Légumes ou fleurs,
AUB,Aubergine,01.13.33,Aubergines,25,Légumes ou fleurs,
AVH,Avoine d’hiver,01.11.33,Avoine,4,Autres céréales,
AVO,Avocat,01.22.11,Avocats,20,Vergers,
AVP,Avoine de printemps,01.11.33,Avoine,4,Autres céréales,
BAR,Bardane,01.28.30.33,Bardane,24,Autres cultures industrielles,
BAS,Basilic,01.28.19.27,Basilic,24,Autres cultures industrielles,
BCA,Banane créole (fruit et légume) - autre,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BCF,Banane créole (fruit et légume) - fermage,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BCI,Banane créole (fruit et légume) - indivision,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BCP,Banane créole (fruit et légume) - propriété ou faire valoir direct,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BCR,Banane créole (fruit et légume) - réforme foncière,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BDH,Blé dur d’hiver,01.11.11,Blé dur,4,Autres céréales,
BDP,Blé dur de printemps,01.11.11,Blé dur,4,Autres céréales,
BDT,Blé dur de printemps semé tardivement (après le 31/05),01.11.11,Blé dur,4,Autres céréales,
BEA,Banane export - autre,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BEF,Banane export - fermage,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BEI,Banane export - indivision,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BEP,Banane export - propriété ou faire valoir direct,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BER,Banane export - réforme foncière,01.22.12,"Bananes, bananes plantains et assimilés",20,Vergers,
BFP,Bande admissible le long d’une forêt avec production,01.99,Autres surfaces non productive et surfaces non agricoles,28,Divers,
BFS,Bande admissible le long d’une forêt sans production,01.99,Autres surfaces non productive et surfaces non agricoles,28,Divers,
BLT,Bleuet,01.28.30.34,Bleuet,25,Légumes ou fleurs,
BOP,Bois pâturé,01.95.11,Bois pâturés et parcours ligneux,17,Estives et landes,
BOR,Bordure de champ,01.99,Autres surfaces non productive et surfaces non agricoles,28,Divers,
BRH,Bourrache de 5 ans ou moins,01.19.10.11,Prairie temporaire,24,Autres cultures industrielles,
BRO,Brome de 5 ans ou moins,01.19.10.11,Prairie temporaire,28,Divers,
BTA,Bande tampon,01.99,Autres surfaces non productive et surfaces non agricoles,28,Divers,
BTH,Blé tendre d’hiver,01.11.12,Blé tendre,1,Blé tendre,
BTN,Betterave non fourragère / Bette,01.13.71,Betteraves à sucre,24,Autres cultures industrielles,
BTP,Blé tendre de printemps,01.11.12,Blé tendre,1,Blé tendre,
BUR,Bugle rampante,01.28.30.35,Bugle rampant,25,Légumes ou fleurs,
BVF,Betterave fourragère,01.19.10.2,Betterave fourragère,16,Fourrage,
CAB,Caroube,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",22,Fruits à coque,
CAC,Café / Cacao,01.27.1,Plantes à boissons,20,Vergers,
CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants,01.95.11,Bois pâturés et parcours ligneux,28,Divers,
CAF,Carotte fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
CAG,Autre céréale d’un autre genre,01.11.49.9,Autres céréales,4,Autres céréales,
CAR,Carotte,01.13.41.1,Carottes,25,Légumes ou fleurs,
CAV,Carvi,01.28.14.9,"Cumin, carvi et genièvre, bruts",24,Autres cultures industrielles,
CBT,Cerise bigarreau pour transformation,01.24.24,Cerises,20,Vergers,
CCN,Concombre / Cornichon,01.13.32,Concombres et cornichons,25,Légumes ou fleurs,
CCT,Courgette / Citrouille,01.13.39,Autres légumes à fruits n.c.a.,25,Légumes ou fleurs,
CEE,Chênaie entretenue par des porcins ou des petits ruminants,01.95.11,Bois pâturés et parcours ligneux,28,Divers,
CEL,Céleri,01.13.49.3,Céleris raves,25,Légumes ou fleurs,
CES,Chicorée / Endive / Scarole,01.13.19.9,Autres légumes à feuilles ou à tiges,25,Légumes ou fleurs,
CGF,Autre céréale de genre Fagopyrum,01.11.49.2,Sarrasin,4,Autres céréales,
CGH,Autre céréale de genre Phalaris,01.11.49.9,Autres céréales,4,Autres céréales,
CGO,Autre céréale de genre Sorghum,01.11.41,Sorgho,4,Autres céréales,
CGP,Autre céréale de genre Panicum,01.11.49.9,Autres céréales,4,Autres céréales,
CGS,Autre céréale de genre Setaria,01.11.49.9,Autres céréales,4,Autres céréales,
CHA,Autre céréale d’hiver de genre Avena,01.11.33,Avoine,4,Autres céréales,
CHF,Chou fourrager,01.19.10.3,Choux fourrager,16,Fourrage,
CHH,Autre céréale d’hiver de genre Hordeum,01.11.31,Orges,4,Autres céréales,
CHR,Chardon Marie,01.28.30.49,Chardon Marie,24,Autres cultures industrielles,
CHS,Autre céréale d’hiver de genre Secale,01.11.32,Seigle,4,Autres céréales,
CHT,Autre céréale d’hiver de genre Triticum,01.11.49.9,Autres céréales,4,Autres céréales,
CHU,Chou,01.13.12,Choux,25,Légumes ou fleurs,
CHV,Chanvre,01.16.19.2,Chanvre,9,Plantes à fibres,
CIB,Ciboulette,01.28.19.44,Ciboulette,24,Autres cultures industrielles,
CID,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,01.19.99,Cultures en inter-rang,28,Divers,
CIT,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,01.19.99,Cultures en inter-rang,28,Divers,
CMB,Courge musquée / Butternut,01.13.39.31,Courge musquée / Butternut,25,Légumes ou fleurs,
CML,Cameline,01.11.99.1,Cameline,24,Autres cultures industrielles,
CMM,Camomille,01.28.19.28,Camomille romaine,24,Autres cultures industrielles,
CNE,Chênaie non entretenue par des porcins ou des petits ruminants,01.95.19,"Bois non pâturés, sans cueillette",28,Divers,
CPA,Autre céréale de printemps de genre Avena,01.11.33,Avoine,4,Autres céréales,
CPH,Autre céréale de printemps de genre Hordeum,01.11.31,Orges,4,Autres céréales,
CPL,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),01.19.10.6,Mélanges fourragers,16,Fourrage,
CPS,Autre céréale de printemps de genre Secale,01.11.32,Seigle,4,Autres céréales,
CPT,Autre céréale de printemps de genre Triticum,01.11.49.9,Autres céréales,4,Autres céréales,
CPZ,Autre céréale de printemps de genre Zea,01.11.20,Maïs grain (yc maïs doux),4,Autres céréales,
CRA,Cresson alénois de 5 ans ou moins,01.13.19.4,Cresson,25,Légumes ou fleurs,
CRD,Coriandre,01.28.14.1,Coriandre (graines),24,Autres cultures industrielles,
CRF,Cerfeuil,01.28.19.29,Cerfeuil,24,Autres cultures industrielles,
CRN,Cornille,01.11.76,"Dolique à œil noir (pois du brésil, niébé)",25,Légumes ou fleurs,
CRS,Cresson,01.13.19.4,Cresson,25,Légumes ou fleurs,
CSA,Canne à sucre - autre,01.14,Cannes à sucre,26,Canne à sucre,
CSE,Chanvre sans étiquette conforme,01.16.19.2,Chanvre,9,Plantes à fibres,
CSF,Canne à sucre - fermage,01.14,Cannes à sucre,26,Canne à sucre,
CSI,Canne à sucre - indivision,01.14,Cannes à sucre,26,Canne à sucre,
CSP,Canne à sucre - propriété ou faire valoir direct,01.14,Cannes à sucre,26,Canne à sucre,
CSR,Canne à sucre - réforme foncière,01.14,Cannes à sucre,26,Canne à sucre,
CSS,Culture sous serre hors sol,01.19,Autres cultures non permanentes,25,Légumes ou fleurs,
CTG,Châtaigne,01.25.32,Châtaignes et marrons,22,Fruits à coque,
CUA,Culture sous abattis,01.19,Autres cultures non permanentes,28,Divers,
CUM,Cumin,01.28.14.9,"Cumin, carvi et genièvre, bruts",24,Autres cultures industrielles,
CUR,Curcuma,01.28.19.51,Curcuma,24,Autres cultures industrielles,
CZH,Colza d’hiver,01.11.93,Colza,5,Colza,
CZP,Colza de printemps,01.11.93,Colza,5,Colza,
DOL,Dolique,01.11.76,"Dolique à œil noir (pois du brésil, niébé)",25,Légumes ou fleurs,
DTY,Dactyle de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
EPE,Épeautre,01.11.49.1,Epeautre,4,Autres céréales,
EPI,Épinard,01.13.16,Épinards,25,Légumes ou fleurs,
EST,Estragon,01.28.19.45,Estragon,24,Autres cultures industrielles,
FAG,Autre fourrage annuel d’un autre genre,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FET,Fétuque de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
FEV,Fève,01.11.72,"Fèves, sèches (yc féveroles)",8,Protéagineux,
FF5,Féverole fourragère implantée pour la récolte 2015,01.11.72,"Fèves, sèches (yc féveroles)",16,Fourrage,
FF6,Féverole fourragère implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FF7,Féverole fourragère implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FF8,Féverole fourragère implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FFO,Autre féverole fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FLA,Autre légume ou fruit annuel,01.19,Autres cultures non permanentes,25,Légumes ou fleurs,
FLO,Fléole de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
FLP,Autre légume ou fruit pérenne,01.29,Autres cultures permanentes,25,Légumes ou fleurs,
FNO,Fenouil,01.28.14.2,Fenouil doux et amer,24,Autres cultures industrielles,
FNU,Fenugrec,01.28.19.41,Fenugrec,24,Autres cultures industrielles,
FRA,Fraise,01.25.13,Fraises,25,Légumes ou fleurs,
FSG,Autre plante fourragère sarclée d’un autre genre,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
FVL,Féverole semée avant le 31/05,01.11.72,"Fèves, sèches (yc féveroles)",8,Protéagineux,
FVT,Féverole semée tardivement (après le 31/05),01.11.72,"Fèves, sèches (yc féveroles)",8,Protéagineux,
GAI,Gaillet,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",16,Fourrage,
GER,Géranium,01.28.30.36,Géranium,25,Légumes ou fleurs,
GES,Gesse,01.11.79.9,Autres légumes secs,16,Fourrage,
GFP,Autre graminée fourragère pure de 5 ans ou moins,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
HAR,Haricot / Flageolet,01.11.71,"Haricots, secs",25,Légumes ou fleurs,
HBL,Houblon,01.28.2,Houblon en cônes,24,Autres cultures industrielles,
HPC,Horticulture ornementale de plein champ,01.19.21,Fleurs coupées et boutons de fleurs,25,Légumes ou fleurs,
HSA,Horticulture ornementale sous abri,01.19.21,Fleurs coupées et boutons de fleurs,25,Légumes ou fleurs,
J5M,Jachère de 5 ans ou moins,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
J6P,Jachère de 6 ans ou plus,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
J6S,Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
JNO,Jachère noire,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",11,Gel (surfaces gelées sans production),
JO5,Jarosse implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JO6,Jarosse implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JO7,Jarosse implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JO8,Jarosse implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JOD,Jarosse déshydratée,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
JOS,Autre jarosse,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LAV,Lavande / Lavandin,01.28.30.10,"Lavande, lavandin",24,Autres cultures industrielles,
LBF,Laitue / Batavia / Feuille de chêne,01.13.19.8,Salades,25,Légumes ou fleurs,
LDH,Lupin doux d’hiver,01.11.79.1,Lupin,8,Protéagineux,
LDP,Lupin doux de printemps semé avant le 31/05,01.11.79.1,Lupin,8,Protéagineux,
LDT,Lupin doux de printemps semé tardivement (après le 31/05),01.11.79.1,Lupin,8,Protéagineux,
LEC,Lentille cultivée (non fourragère),01.11.74,"Lentilles, sèches",15,Légumineuses à grains,
LEF,Lentille fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LFH,Autre lupin fourrager d’hiver,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LFP,Autre lupin fourrager de printemps,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH5,Lupin fourrager d’hiver implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH6,Lupin fourrager d’hiver implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH7,Lupin fourrager d’hiver implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LH8,Lupin fourrager d'hiver implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LIF,Lin fibres,01.16.19.1,Lin fibre,9,Plantes à fibres,
LIH,Lin non textile d’hiver,01.11.91,Lin (graines),7,Autres oléagineux,
LIP,Lin non textile de printemps,01.11.91,Lin (graines),7,Autres oléagineux,
LO7,Lotier implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LO8,Lotier implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LOT,Lotier,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP5,Lupin fourrager de printemps implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP6,Lupin fourrager de printemps implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP7,Lupin fourrager de printemps implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LP8,Lupin fourrager de printemps implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
LSA,Légume sous abri,01.13.90.1,Légumes frais sous abris,25,Légumes ou fleurs,
LU5,Luzerne implantée pour la récolte 2015,01.19.10.8,Luzerne,16,Fourrage,
LU6,Luzerne implantée pour la récolte 2016,01.19.10.8,Luzerne,16,Fourrage,
LU7,Luzerne implantée pour la récolte 2017,01.19.10.8,Luzerne,16,Fourrage,
LU8,Luzerne implantée pour la récolte 2018,01.19.10.8,Luzerne,16,Fourrage,
LUD,Luzerne déshydratée,01.19.10.8,Luzerne,16,Fourrage,
LUZ,Autre luzerne,01.19.10.8,Luzerne,16,Fourrage,
MAC,Mâche,01.13.19.83,Mâches,25,Légumes ou fleurs,
MAV,Mauve,01.28.30.43,Mauve,24,Autres cultures industrielles,
MC5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales,01.19.10.6,Mélanges fourragers,16,Fourrage,
MC6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales,01.19.10.6,Mélanges fourragers,16,Fourrage,
MC7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et de céréales,01.19.10.6,Mélanges fourragers,16,Fourrage,
MC8,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et d’oléagineux,01.19.10.6,Mélanges fourragers,16,Fourrage,
MCR,Mélange de céréales,01.11.49.3,Mélanges (avec céréales),4,Autres céréales,
MCT,Miscanthus,01.29.00.91,Miscanthus,28,Divers,
ME5,Mélilot implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
