code_pac,lbl_cultu,code_cpf_bio,libelle_code_cpf_bio,code_grp_cultu,grp_cultu,
ME6,Mélilot implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
ME7,Mélilot implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
ME8,Mélilot implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
MED,Mélilot déshydraté,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
MEL,Autre mélilot,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
MH5,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d’herbacées ou de graminées fourragères,01.19.10.6,Mélanges fourragers,16,Fourrage,
MH6,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d’herbacées ou de graminées fourragères,01.19.10.6,Mélanges fourragers,16,Fourrage,
MH7,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et d’herbacées ou de graminées fourragères,01.19.10.6,Mélanges fourragers,16,Fourrage,
MI7,Minette implanté pour la récolte 2017,01.19.10.8,Luzerne,16,Fourrage,
MI8,Minette implanté pour la récolte 2018,01.19.10.8,Luzerne,16,Fourrage,
MID,Maïs doux,01.11.20.1,Maïs doux,2,Maïs grain et ensilage,
MIE,Maïs ensilage,01.19.10.5,Maïs fourrager,2,Maïs grain et ensilage,
MIN,Minette,01.19.10.8,Luzerne,16,Fourrage,
MIS,Maïs,01.11.20.2,Maïs grain (hors maïs doux),2,Maïs grain et ensilage,
ML5,Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles),01.19.10.6,Mélanges fourragers,16,Fourrage,
ML6,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),01.19.10.6,Mélanges fourragers,16,Fourrage,
ML7,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),01.19.10.6,Mélanges fourragers,16,Fourrage,
ML8,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),01.19.10.6,Mélanges fourragers,16,Fourrage,
MLC,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,01.19.10.6,Mélanges fourragers,16,Fourrage,
MLD,Mélange de légumineuses déshydratées (entre elles),01.11.79.9,Autres légumes secs,16,Fourrage,
MLF,Mélange de légumineuses fourragères (entre elles),01.19.10.6,Mélanges fourragers,16,Fourrage,
MLG,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins,01.11.49.32,Mélanges Céréales-légumineuses,16,Fourrage,
MLI,Mélisse,01.28.30.6,Mélisse,24,Autres cultures industrielles,
MLO,Melon,01.13.29.1,Melons,25,Légumes ou fleurs,
MLP,Millepertuis,01.28.30.71,Millepertuis,24,Autres cultures industrielles,
MLS,Mélange de légumineuses non fourragères prépondérantes et de céréales et/ou d'oléagineux,01.11.49.32,Mélanges Céréales-légumineuses,8,Protéagineux,
MLT,Millet,01.11.42,Millet,4,Autres céréales,
MOH,Moha,01.11.49.9,Autres céréales,16,Fourrage,
MOL,Mélange d’oléagineux,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
MOT,Moutarde,01.11.92,Moutarde (graines),24,Autres cultures industrielles,
MPA,Autre mélange de plantes fixant l’azote,01.93,Engrais vert,28,Divers,
MPC,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales,01.11.79.9,Autres légumes secs,8,Protéagineux,
MPP,Mélange de protéagineux (pois et/ou lupin et/ou féverole),01.11.79.9,Autres légumes secs,8,Protéagineux,
MPT,Mélange de protéagineux semés tardivement (après le 31/05),01.11.79.9,Autres légumes secs,8,Protéagineux,
MRG,Marguerite,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",25,Légumes ou fleurs,
MRJ,Marjolaine / Origan,01.28.19.99,Autres épices brutes et arômates n.c.a.,24,Autres cultures industrielles,
MRS,Marais salant,08.93.1,Sel de mer,28,Divers,
MTH,Menthe,01.28.19.3,Menthe,24,Autres cultures industrielles,
NOS,Noisette,01.25.33,Noisettes,22,Fruits à coque,
NOX,Noix,01.25.35,Noix,22,Fruits à coque,
NVE,Navette d’été,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,7,Autres oléagineux,
NVF,Navet fourrager,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
NVH,Navette d’hiver,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,7,Autres oléagineux,
NVT,Navet,01.13.41.2,Navets,25,Légumes ou fleurs,
NYG,Nyger,01.11.99,Autres oléagineux n.c.a.,28,Divers,
OAG,Autre oléagineux d’un autre genre,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
OEH,Autre oléagineux d’espèce Helianthus,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
OEI,Œillette,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
OHN,Autre oléagineux d’hiver d’espèce Brassica napus,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
OHR,Autre oléagineux d’hiver d’espèce Brassica rapa,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
OIG,Oignon / Échalote,01.13.43,"Oignons, échalotes",25,Légumes ou fleurs,
OLI,Oliveraie,01.26.1,Olives,23,Oliviers,
OPN,Autre oléagineux de printemps d’espèce Brassica napus,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
OPR,Autre oléagineux de printemps d’espèce Brassica rapa,01.11.99,Autres oléagineux n.c.a.,7,Autres oléagineux,
ORH,Orge d'hiver,01.11.31,Orges,3,Orge,
ORP,Orge de printemps,01.11.31,Orges,3,Orge,
ORT,Ortie,01.28.30.37,Ortie,24,Autres cultures industrielles,
OSE,Oseille,01.28.19.46,Oseille,24,Autres cultures industrielles,
PAG,Autre protéagineux d’un autre genre,01.11.79.9,Autres légumes secs,8,Protéagineux,
PAN,Panais,01.13.49.4,Panais,25,Légumes ou fleurs,
PAQ,Pâquerette,01.19.21,Fleurs coupées et boutons de fleurs,25,Légumes ou fleurs,
PAR,Plante aromatique (autre que vanille),01.28.19.99,Autres épices brutes et arômates n.c.a.,24,Autres cultures industrielles,
PAS,Pastèque,01.13.21,Pastèques,25,Légumes ou fleurs,
PAT,Pâturin commun de 5 ans ou moins,01.19.10.11,Prairie temporaire,16,Fourrage,
PCH,Pois chiche,01.11.73,"Pois chiches, secs",15,Légumineuses à grains,
PCL,Phacélie de 5 ans ou moins,01.19.10.11,Prairie temporaire,28,Divers,
PEP,Pépinière,01.03,"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon",28,Divers,
PFH,Autre pois fourrager d’hiver,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PFP,Autre pois fourrager de printemps,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PFR,Petit fruit rouge,01.25.1,Baies et fruits du genre Vaccinium,20,Vergers,
PH5,Pois fourrager d’hiver implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PH6,Pois fourrager d’hiver implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PH7,Pois fourrager d’hiver implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PH8,Pois fourrager d’hiver implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PHI,Pois d’hiver,01.11.75,"Pois, secs",8,Protéagineux,
PIS,Pistache,01.25.34,Pistaches,22,Fruits à coque,
PMD,Plante médicinale,01.28.30.99,"Autres plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires",24,Autres cultures industrielles,
PMV,Primevère,01.19.21,Fleurs coupées et boutons de fleurs,25,Légumes ou fleurs,
POR,Poireau,01.13.44,Poireaux et autres alliacés,25,Légumes ou fleurs,
POT,Potiron / Potimarron,01.13.39.32,Potiron / Potimarron,25,Légumes ou fleurs,
PP5,Pois fourrager de printemps implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PP6,Pois fourrager de printemps implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PP7,Pois fourrager de printemps implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PP8,Pois fourrager de printemps implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
PPA,"Autre plante à parfum, aromatique et médicinale annuelle",01.28.30.99,"Autres plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires",24,Autres cultures industrielles,
PPF,Plante à parfum (autre que géranium et vétiver),01.28.30.99,"Autres plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires",24,Autres cultures industrielles,
PPH,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),01.19.10.12,Prairie permanente,18,Prairies permanentes,
PPO,Petits pois,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",25,Légumes ou fleurs,
PPP,"Autre plante à parfum, aromatique et médicinale pérenne",01.28.30.99,"Autres plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires",24,Autres cultures industrielles,
PPR,Pois de printemps semé avant le 31/05,01.11.75,"Pois, secs",8,Protéagineux,
PPT,Pois de printemps semé tardivement (après le 31/05),01.11.75,"Pois, secs",8,Protéagineux,
PRL,Prairie en rotation longue (6 ans ou plus),01.19.10.12,Prairie permanente,18,Prairies permanentes,
PRU,Prune d’Ente pour transformation,01.24.27,Prunes,20,Vergers,
PSE,Pensée,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",25,Légumes ou fleurs,
PSL,Persil,01.28.19.43,Persil,24,Autres cultures industrielles,
PSN,Psyllium noir de Provence,01.28.30.38,Psyllium noir de Provence,24,Autres cultures industrielles,
PSY,Plantain psyllium,01.28.30.39,Plantain psyllium,24,Autres cultures industrielles,
PTC,Pomme de terre de consommation,01.13.51.1,Pommes de terre (hors féculière),25,Légumes ou fleurs,
PTF,Pomme de terre féculière,01.13.51.2,Pommes de terre féculière,25,Légumes ou fleurs,
PTR,Autre prairie temporaire de 5 ans ou moins,01.19.10.11,Prairie temporaire,19,Prairies temporaires,
PVP,Poivron / Piment,01.13.31,"Piments et poivrons, verts (uniquement capsicum)",25,Légumes ou fleurs,
PVT,Pêche Pavie pour transformation,01.24.25,Pêches,20,Vergers,
PWT,Poire Williams pour transformation,01.24.21,Poires,20,Vergers,
RDF,Radis fourrager,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
RDI,Radis,01.13.49.1,Radis,25,Légumes ou fleurs,
RGA,Ray-grass de 5 ans ou moins,01.19.10.11,Prairie temporaire,19,Prairies temporaires,
RIZ,Riz,01.12,"Riz, non décortiqué",14,Riz,
ROM,Romarin,01.28.19.21,Romarin,24,Autres cultures industrielles,
ROQ,Roquette,01.13.19.8,Salades,25,Légumes ou fleurs,
ROS,Roselière,01.99,Autres surfaces non productive (yc bordures et bandes tampon),28,Divers,
RUT,Rutabaga,01.13.49.6,Rutabagas,25,Légumes ou fleurs,
RVI,Restructuration du vignoble,01.21.12,Raisin de cuve,21,Vignes,
SA5,Sainfoin implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SA6,Sainfoin implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SA7,Sainfoin implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SA8,Sainfoin implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SAD,Sainfoin déshydraté,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SAI,Autre sainfoin,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SBO,Surface boisée sur une ancienne terre agricole,01.95.1,Bois,28,Divers,
SE5,Serradelle implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SE6,Serradelle implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SE7,Serradelle implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SE8,Serradelle implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SED,Serradelle déshydratée,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SER,Autre serradelle,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
SFI,Salsifis,01.13.49.5,Salsifis,25,Légumes ou fleurs,
SGE,Sauge,01.28.30.81,Sauge officinale,24,Autres cultures industrielles,
SGH,Seigle d’hiver,01.11.32,Seigle,4,Autres céréales,
SGP,Seigle de printemps,01.11.32,Seigle,4,Autres céréales,
SNA,Surface non agricole non visible sur l’orthophotographie,01.99,Autres surfaces non productive (yc bordures et bandes tampon),28,Divers,
SNE,Surface agricole temporairement non exploitée,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",28,Divers,
SOG,Sorgho,01.11.41,Sorgho,4,Autres céréales,
SOJ,Soja,01.11.81,Fèves de soja,7,Autres oléagineux,
SPH,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,01.19.10.13,Parcours herbeux (hors estives collectives),17,Estives et landes,
SPL,Surface pastorale - ressources fourragères ligneuses prédominantes,01.95.11,Bois pâturés et parcours ligneux,17,Estives et landes,
SRI,Sarriette,01.28.19.1,Sarriette,24,Autres cultures industrielles,
SRS,Sarrasin,01.11.49.2,Sarrasin,4,Autres céréales,
TAB,Tabac,01.15,Tabac brut,24,Autres cultures industrielles,
TBT,Tubercule tropical,01.13.5,Racines et tubercules à amidon ou inuline comestibles,28,Divers,
TCR,Taillis à courte rotation,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",28,Divers,
THY,Thym,01.28.19.25,Thym,24,Autres cultures industrielles,
TOM,Tomate,01.13.34,Tomates,25,Légumes ou fleurs,
TOP,Topinambour,01.13.59,Autres racines et tubercules à amidon ou inuline comestibles,25,Légumes ou fleurs,
TOT,Tomate pour transformation,01.13.34,Tomates,24,Autres cultures industrielles,
TR5,Trèfle implanté pour la récolte 2015,01.19.10.7,Trèfle,16,Fourrage,
TR6,Trèfle implanté pour la récolte 2016,01.19.10.7,Trèfle,16,Fourrage,
TR7,Trèfle implanté pour la récolte 2017,01.19.10.7,Trèfle,16,Fourrage,
TR8,Trèfle implanté pour la récolte 2018,01.19.10.7,Trèfle,16,Fourrage,
TRD,Trèfle déshydraté,01.19.10.7,Trèfle,16,Fourrage,
TRE,Autre trèfle,01.19.10.7,Trèfle,16,Fourrage,
TRN,Tournesol,01.11.95,Tournesol,6,Tournesol,
TRU,Truffière (chênaie de plants mycorhizés),01.13.8,Champignons et truffes,28,Divers,
TTH,Triticale d’hiver,01.11.43,Triticale,4,Autres céréales,
TTP,Triticale de printemps,01.11.43,Triticale,4,Autres céréales,
VAL,Valériane,01.28.30.44,Valériane,24,Autres cultures industrielles,
VE5,Vesce implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
VE6,Vesce implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
VE7,Vesce implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
VE8,Vesce implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
VED,Vesce déshydratée,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
VER,Véronique,01.28.30.45,Véronique,25,Légumes ou fleurs,
VES,Autre vesce,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
VET,Vétiver,01.28.30.46,Vétiver,28,Divers,
VGD,Verger (DOM),01.25.9,Autres fruits d'arbres ou d'arbustes n.c.a.,20,Vergers,
VNB,Vanille sous bois,01.28.18,"Vanille, brute",24,Autres cultures industrielles,
VNL,Vanille,01.28.18,"Vanille, brute",24,Autres cultures industrielles,
VNV,Vanille verte,01.28.18,"Vanille, brute",24,Autres cultures industrielles,
VRC,Vigne : raisins de cuve,01.21.12,Raisin de cuve,21,Vignes,
VRG,Verger,01.25.9,Autres fruits d'arbres ou d'arbustes n.c.a.,20,Vergers,
VRN,Vigne : raisins de cuve non en production,01.21.12,Raisin de cuve,21,Vignes,
VRT,Vigne : raisins de table,01.21.11,Raisin de table,21,Vignes,
XFE,X-Felium de 5 ans ou moins,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,16,Fourrage,
YLA,Ylang-ylang,01.28.30.47,Ylang-ylang,24,Autres cultures industrielles,
ZZZ,Culture inconnue,,,28,Divers,